What are some common examples of behaviors considered as domestic violence?,dom_voi_intro
Can you explain the cycle of domestic violence and its impact on victims?,dom_voi_intro
How does domestic violence affect children who witness it?,dom_voi_intro
Are there specific risk factors that can contribute to domestic violence?,dom_voi_intro
What is the difference between domestic violence and a heated argument in a relationship?,dom_voi_intro
Can you provide statistics on the prevalence of domestic violence?,dom_voi_intro
How does domestic violence impact different age groups and genders?,dom_voi_intro
What are the psychological effects of domestic violence on victims?,dom_voi_intro
Are there cultural variations in how domestic violence is perceived and reported?,dom_voi_intro
"How does domestic violence intersect with other forms of abuse, such as financial or emotional abuse?",dom_voi_intro
"Can you describe the ""Power and Control Wheel"" used to understand domestic violence dynamics?",dom_voi_intro
What are some long-term consequences of not reporting domestic violence?,dom_voi_intro
How does domestic violence affect society as a whole?,dom_voi_intro
Are there patterns or red flags that can help identify potential domestic violence situations?,dom_voi_intro
What role does substance abuse play in exacerbating domestic violence?,dom_voi_intro
How can we challenge societal attitudes that may contribute to domestic violence?,dom_voi_intro
Are there differences between domestic violence in urban and rural areas?,dom_voi_intro
